"hy_armtdp","eu_bdt","ja_gsd","kmr_mg","sme_giella","af_afribooms","cs_pdt","da_ddt","pcm_nsc","no_nynorsk"
"pcm_nsc","es_ancora","eu_bdt","vi_vtb","br_keb","ur_udtb","la_ittb","ja_gsd","af_afribooms","grc_perseus"
"sv_pud","af_afribooms","hy_armtdp","nl_alpino","ko_kaist","fi_tdt","sv_talbanken","ur_udtb","ga_idt","en_ewt"
"cs_pdt","he_htb","it_postwita","fa_seraji","fr_spoken","bg_btb","uk_iu","fr_gsd","fro_srcmf","no_bokmaal"
"en_lines","bg_btb","sv_pud","eu_bdt","da_ddt","fa_seraji","it_isdt","kk_ktb","ja_modern","fi_ftb"
"fa_seraji","ug_udt","no_bokmaal","sl_ssj","ja_modern","ko_kaist","br_keb","bxr_bdt","cs_fictree","en_ewt"
"et_edt","hi_hdtb","ca_ancora","sk_snk","cs_pdt","sv_talbanken","id_gsd","ru_taiga","cu_proiel","la_proiel"
"ro_rrt","en_pud","fr_sequoia","cs_pud","en_ewt","nl_alpino","el_gdt","cs_pdt","sv_talbanken","zh_gsd"
"cs_cac","fr_sequoia","uk_iu","sme_giella","pcm_nsc","sv_pud","zh_gsd","fr_gsd","no_nynorsk","no_nynorsklia"
"hy_armtdp","pl_lfg","no_bokmaal","fa_seraji","ja_gsd","cs_cac","no_nynorsklia","cs_fictree","ug_udt","ko_gsd"
"no_bokmaal","kmr_mg","no_nynorsk","fi_ftb","kk_ktb","pl_lfg","ja_modern","ko_kaist","hu_szeged","sv_pud"
"kmr_mg","fro_srcmf","cs_pdt","da_ddt","ja_gsd","cs_pud","fi_pud","ar_padt","hsb_ufal","la_proiel"
"pt_bosque","he_htb","ru_syntagrus","ko_kaist","ro_rrt","fr_gsd","fi_tdt","gl_ctg","ga_idt","sk_snk"
"pt_bosque","hr_set","da_ddt","hi_hdtb","es_ancora","sk_snk","id_gsd","en_pud","ga_idt","hsb_ufal"
"tr_imst","bg_btb","pl_sz","he_htb","ro_rrt","gl_ctg","la_proiel","en_pud","grc_perseus","it_isdt"
"grc_perseus","en_ewt","ro_rrt","sv_lines","af_afribooms","fo_oft","el_gdt","cu_proiel","bxr_bdt","ur_udtb"
"fa_seraji","tr_imst","gl_treegal","de_gsd","grc_perseus","sk_snk","ru_syntagrus","no_nynorsk","pt_bosque","id_gsd"
"pl_sz","es_ancora","la_ittb","la_proiel","nl_lassysmall","ar_padt","hu_szeged","no_bokmaal","nl_alpino","fi_tdt"
"kmr_mg","sk_snk","uk_iu","la_perseus","ko_gsd","hsb_ufal","fi_ftb","ga_idt","grc_proiel","cu_proiel"
"cs_fictree","fi_ftb","es_ancora","sv_lines","no_nynorsk","sk_snk","sl_sst","cs_pud","el_gdt","pl_sz"
"ko_gsd","hi_hdtb","hsb_ufal","hy_armtdp","th_pud","ko_kaist","it_postwita","kk_ktb","he_htb","sk_snk"
"es_ancora","kk_ktb","ro_rrt","ca_ancora","zh_gsd","cs_fictree","sl_sst","pl_lfg","grc_perseus","he_htb"
"cu_proiel","ja_modern","en_pud","nl_alpino","ro_rrt","fi_pud","he_htb","no_nynorsk","es_ancora","ru_syntagrus"
"fro_srcmf","kk_ktb","sl_ssj","fr_gsd","pl_sz","hu_szeged","ug_udt","la_proiel","fr_spoken","fo_oft"
"sv_lines","bxr_bdt","hy_armtdp","fro_srcmf","ug_udt","en_pud","sme_giella","vi_vtb","fa_seraji","da_ddt"
"th_pud","vi_vtb","ar_padt","sv_talbanken","fo_oft","no_bokmaal","bg_btb","nl_alpino","kmr_mg","fr_spoken"
"en_gum","got_proiel","la_proiel","nl_lassysmall","tr_imst","br_keb","el_gdt","grc_perseus","zh_gsd","fi_ftb"
"ur_udtb","fo_oft","da_ddt","fro_srcmf","fr_gsd","sv_lines","la_perseus","ru_taiga","tr_imst","sl_sst"
"kmr_mg","hy_armtdp","ur_udtb","sv_talbanken","kk_ktb","fr_sequoia","ko_gsd","en_ewt","grc_proiel","pt_bosque"
"gl_ctg","ko_gsd","en_gum","ko_kaist","cu_proiel","zh_gsd","fi_ftb","br_keb","cs_pud","da_ddt"
"sl_sst","cs_pud","en_ewt","ko_kaist","ug_udt","ja_modern","ko_gsd","el_gdt","sl_ssj","cs_pdt"
"fro_srcmf","sr_set","ja_gsd","th_pud","no_bokmaal","fa_seraji","en_lines","la_ittb","cu_proiel","en_gum"
